id,subject,body,insurance_type,intent,priority,sentiment,summary,policy_number,claim_number,missing_information,requires_human_review,human_review_reason,confidence
insurance-email-082,Travel policy cancellation fee,"Hi, if I cancel my travel insurance before the start date, is there a fee? Policy TRV-439275. I might not need the trip anymore.",travel,policy_cancellation,medium,neutral,Customer asks whether there is a fee for cancelling travel insurance before the start date and provides policy TRV-439275.,TRV-439275,,"[""Confirmation that the customer wants to cancel the policy"", ""Reason for cancellation if required by policy terms""]",False,,0.98
insurance-email-083,Auto policy document correction,"Dear support, the spelling of my surname is incorrect on my auto documents. Policy AUT-720118. Please correct it to the proper spelling.",auto,policy_change,medium,neutral,Customer says the surname on their auto policy documents is misspelled and asks for it to be corrected. Policy AUT-720118.,AUT-720118,,"[""Correct spelling of the surname""]",False,,0.98
insurance-email-084,Need help after fire alarm incident,"Hello, there was a small electrical fire in my kitchen and the smoke alarm went off. I'm not sure whether this is a claim or just for advice. Home policy HMO-601347.",home,claim_opening,high,negative,Customer reports a small electrical fire in the kitchen and asks whether this should be treated as a claim or just advice. Home policy HMO-601347 is provided.,HMO-601347,,"[""Confirmation of whether the customer wants to open a claim"", ""Date and time of the incident"", ""Extent of damage and any immediate repairs needed"", ""Whether emergency services were involved""]",True,"The email describes a fire incident and is somewhat ambiguous about whether a claim should be opened, which may require human assessment.",0.9
insurance-email-085,Travel insurance proof for airline,"Good afternoon, the airline asked me to show proof of travel insurance at check-in. Could you send me a certificate for policy TRV-910084? Thanks.",travel,document_request,medium,neutral,Customer requests a travel insurance certificate for policy TRV-910084 to show the airline at check-in.,TRV-910084,,[],False,,0.98
insurance-email-086,Auto claim settlement received,"Hi, I received a cheque for my auto claim but I don't understand if it is the final amount. Claim number CLM-665430. Can you confirm?",auto,claim_status,high,neutral,Customer received a cheque for an auto claim and wants to confirm whether it is the final settlement amount. Claim number CLM-665430 is provided.,,CLM-665430,"[""Claim settlement details or explanation of the cheque amount""]",True,"Customer is asking to confirm a claim settlement amount, which may involve a claim decision or dispute and should be reviewed by a human.",0.93
insurance-email-087,Home contents query,"Dear team, does my home policy cover accidental damage to a television if my child knocks it over? Policy HMO-374901. I am trying to understand the cover.",home,policy_information,medium,neutral,Customer asks whether their home policy covers accidental damage to a television if a child knocks it over.,HMO-374901,,"[""Exact wording of the coverage needed to confirm whether accidental damage is included.""]",False,,0.97
insurance-email-088,Travel claim and missing bag tag,"Hello, my checked bag did not arrive and I filed a claim. I have the airline report but lost the bag tag. Claim TRC-558120. Is the tag required?",travel,claim_status,medium,neutral,"Customer says their checked bag did not arrive, they have already filed a claim, and they are asking whether the lost bag tag is required. Claim TRC-558120 is provided.",,TRC-558120,"[""Whether the bag tag is required to proceed"", ""Any policy number if needed to locate coverage""]",False,,0.96
insurance-email-089,Change of occupation,"Hi, my job has changed recently and I am wondering if I need to tell you for my car insurance. Policy AUT-449773. Please advise.",auto,policy_change,medium,neutral,Customer says their job has changed and asks whether this needs to be updated on their car insurance policy.,AUT-449773,,"[""Details of the new occupation"", ""Whether the customer wants to update the policy or only asks for advice""]",False,,0.95
insurance-email-090,Need an update on home repair,"Dear claims team, the contractor said he was waiting for approval from you. Claim CLM-904331 for water damage at my home. Can you let me know if it is approved yet?",home,claim_status,medium,neutral,Customer asks for an update on claim CLM-904331 for water damage at their home and wants to know whether it has been approved.,,CLM-904331,[],False,,0.99
insurance-email-091,Travel insurance starting tomorrow,"Hello, I bought travel insurance for a trip leaving tomorrow, but I cannot see the confirmation email. Policy TRV-266509. Please resend it if possible.",travel,document_request,medium,neutral,Customer bought travel insurance for a trip leaving tomorrow and cannot see the confirmation email. They request that it be resent.,TRV-266509,,[],False,,0.98
insurance-email-092,Auto renewal with new mileage,"Hi, my annual car mileage has gone up and I want to check if that changes my premium. Policy AUT-818270. I can send the new estimate if needed.",auto,policy_change,medium,neutral,The customer says their annual car mileage has increased and wants to know whether this affects their premium for policy AUT-818270.,AUT-818270,,"[""The new annual mileage estimate if they want the premium impact assessed.""]",False,,0.97
insurance-email-093,Home claim due to theft,"Good morning, someone broke into my shed and took tools. I want to report a home contents claim. Policy HMO-567128. I have a list of the missing items.",home,claim_opening,high,negative,Customer reports a burglary at the shed with stolen tools and wants to open a home contents claim.,HMO-567128,,"[""Date and time of the theft"", ""Location/address of the property"", ""Description and estimated value of the stolen tools"", ""Police report number, if available""]",False,,0.98
insurance-email-094,Need help understanding excess,"Dear team, could you explain what excess I would need to pay if I make a claim on my travel insurance? Policy TRV-603410. I am not sure I understand the wording.",travel,policy_information,medium,neutral,Customer asks for an explanation of the excess payable when making a claim on their travel insurance policy.,TRV-603410,,[],False,,0.98
insurance-email-095,Change name after marriage,"Hello, I got married and need the name on my home policy updated. Policy HMO-822605. Please tell me what documents you need.",home,policy_change,medium,neutral,Customer requests a name update on a home policy after marriage and asks which documents are needed.,HMO-822605,,"[""Required supporting documents for the name change""]",False,,0.98
insurance-email-096,Car damage after pothole,"Hi, I hit a deep pothole and now one of my tires and the rim are damaged. Can I claim under my auto policy? Number AUT-190744.",auto,claim_opening,high,neutral,Customer reports tire and rim damage after hitting a pothole and asks whether it can be claimed under their auto policy.,AUT-190744,,"[""Date and location of the incident"", ""Whether the vehicle is drivable and any immediate safety concerns"", ""Photos or repair estimate if required to assess the claim""]",False,,0.97
insurance-email-097,Travel reimbursement for missed connection,"Good day, I missed my connecting flight because the first plane arrived late. I had to buy a new ticket. Policy TRV-773519. Can I claim this?",travel,claim_opening,high,neutral,Customer missed a connecting flight due to a late first flight and bought a new ticket; they want to know if they can claim under policy TRV-773519.,TRV-773519,,"[""Date of travel"", ""Flight details and itinerary"", ""Receipt or proof of the new ticket purchase"", ""Evidence of the flight delay and missed connection""]",False,,0.98
insurance-email-098,Home policy for basement flood,"Dear support, my basement flooded after heavy rain and I want to know whether my policy covers this. Policy HMO-318944. Please advise before I arrange repairs.",home,policy_information,high,neutral,Customer asks whether their home policy covers basement flood damage after heavy rain before arranging repairs.,HMO-318944,,"[""Whether the flooding occurred due to an insured peril under the policy"", ""Details of the damage and any immediate mitigation already taken""]",False,,0.96
insurance-email-099,Claim number and policy confusion,"Hello, I have both a claim number and policy number but I am not sure which one to use for an update request. The claim might be CLM-201995 and the policy is AUT-501337. Sorry for the confusion.",auto,claim_status,medium,neutral,Customer is asking which identifier to use for an update request and mentions a possible claim number and policy number.,AUT-501337,CLM-201995,"[""Which claim or policy the update request relates to"", ""What specific update is being requested""]",True,"The email is ambiguous about whether the customer needs claim or policy assistance, and the identifiers are presented as uncertain.",0.76
insurance-email-100,Can you send proof of insurance?,"Hi, I need proof that my auto insurance is active because I am registering a car this week. Policy AUT-675214. Could you email it to me today?",auto,document_request,high,neutral,Customer requests proof that their auto insurance is active and asks for it to be emailed today for car registration.,AUT-675214,,[],False,,0.98
insurance-email-101,Travel claim for cancelled excursion,"Dear team, I booked an excursion on holiday but it was cancelled by the operator and I lost the money. Does travel insurance cover this? Policy TRV-880512.",travel,policy_information,medium,neutral,Customer asks whether their travel insurance covers a cancelled excursion and mentions policy TRV-880512.,TRV-880512,,"[""Details of the excursion cancellation and any supporting documents if a claim is to be opened""]",False,,0.89
insurance-email-102,Home insurance billing question,"Hello, my home policy payment is normally taken on the 3rd, but this month it came out on the 1st. Policy HMO-144739. Can you explain why?",home,payment_information,medium,neutral,Customer asks why their home insurance payment was taken on the 1st instead of the usual 3rd for policy HMO-144739.,HMO-144739,,[],False,,0.97
insurance-email-103,Need to add glass cover,"Hi, I want to add glass cover to my car insurance because my windshield keeps getting chips. Policy AUT-947221. Please let me know the cost.",auto,policy_change,medium,neutral,Customer wants to add glass cover to an auto policy and asks for the cost. Policy AUT-947221.,AUT-947221,,"[""Confirmation of the desired coverage change"", ""Any details needed to price the glass cover, if not already on file""]",False,,0.98
insurance-email-104,Claim follow-up after phone call,"Good afternoon, I spoke to someone last week about claim HCL-700418 for storm damage, and they said I would get an update. I have not received one yet.",home,claim_status,medium,neutral,Customer is following up for an update on claim HCL-700418 related to storm damage.,,HCL-700418,[],False,,0.98
insurance-email-105,Travel policy certificate for employer,"Dear support, my employer needs a copy of my travel insurance certificate for an upcoming work trip. Policy TRV-339801. Please send a PDF if possible.",travel,document_request,medium,neutral,Customer requests a PDF copy of their travel insurance certificate for an upcoming work trip and provides policy TRV-339801.,TRV-339801,,[],False,,0.99
insurance-email-106,Policy not found in app,"Hello, I added my home insurance to the app but it does not show any details. Policy HMO-920455. Can you check if everything is linked correctly?",home,policy_information,medium,neutral,Customer says their home insurance policy HMO-920455 was added to the app but no details are showing and asks to check whether it is linked correctly.,HMO-920455,,"[""Any app/account identifier or login email needed to check the linkage"", ""Confirmation of whether the policy should already be visible in the app""]",False,,0.95
insurance-email-107,Accident report question,"Hi, I had a small bump with another car in a supermarket car park. Do I need to send a police report for my auto claim? Policy AUT-608933. Nobody was hurt.",auto,claim_opening,medium,neutral,Customer reports a minor car park collision and asks whether a police report is needed for an auto claim. Policy AUT-608933 is provided.,AUT-608933,,"[""Whether a claim has already been opened"", ""Details of the accident date and location"", ""Third-party contact and vehicle details if a claim is to be filed""]",False,,0.95
insurance-email-108,Travel insurance for lost passport,"Good morning, I lost my passport during a trip and had to pay for replacement papers. Is that something I can claim on travel insurance? Policy TRV-452108.",travel,claim_opening,medium,neutral,Customer asks whether costs for replacement papers after losing a passport during a trip can be claimed under travel insurance.,TRV-452108,,"[""Details of the incident date and location"", ""Whether a claim should be opened now or the customer only wants coverage confirmation"", ""Receipts or proof of the replacement paper expenses""]",False,,0.94
insurance-email-109,Home claim pending approval,"Dear claims department, my house claim CLM-996210 has been pending for a week. Can you tell me if any more evidence is needed? I already sent the photos and estimate.",home,claim_status,medium,neutral,"Customer asks for an update on home claim CLM-996210, which has been pending for a week, and wants to know whether any additional evidence is needed.",,CLM-996210,[],False,,0.98
insurance-email-110,Update bank details,"Hello, my bank account changed and I need to update the payment details for my travel policy. Policy TRV-111904. Please let me know how.",travel,policy_change,medium,neutral,Customer wants to update bank/payment details for a travel policy.,TRV-111904,,"[""New bank account details to update the payment method""]",False,,0.98
insurance-email-111,Auto policy cover abroad,"Hi, I am taking my car into another country for a few months and want to make sure the auto policy still covers me there. Policy AUT-777209. Thanks.",auto,policy_information,medium,neutral,Customer asks whether their auto policy covers them while driving their car in another country for a few months.,AUT-777209,,"[""Which country or countries the car will be taken to"", ""The exact travel dates or duration abroad""]",False,,0.98
insurance-email-112,Need copy of claim form,"Dear team, could you send me a copy of the claim form I submitted for my home damage case? Claim number CLM-388415. I need it for my records.",home,document_request,medium,neutral,Customer requests a copy of the claim form submitted for a home damage case for their records.,,CLM-388415,[],False,,0.98
insurance-email-113,Travel claim mistake,"Hello, I think I selected the wrong trip dates when I filed my travel claim. Claim TRC-509773. Is it possible to correct this?",travel,document_submission,medium,neutral,Customer says they entered the wrong trip dates on a travel claim and wants to correct it. Claim TRC-509773 is provided.,,TRC-509773,"[""The correct trip dates needed to update the claim""]",False,,0.94
insurance-email-114,Home insurance and new pets,"Hi, we just got two cats and I am wondering if that affects my home insurance in any way. Policy HMO-663290. Please let me know.",home,policy_information,medium,neutral,Customer asks whether acquiring two cats affects their home insurance policy.,HMO-663290,,[],False,,0.96
insurance-email-115,Car repair approval needed,"Good evening, my garage says they are waiting for approval before repairing my car. Claim CLM-120884. Could you tell me if the repair has been authorized?",auto,claim_status,medium,neutral,Customer asks whether car repair has been authorized for claim CLM-120884.,,CLM-120884,[],False,,0.97
insurance-email-116,Travel cover for winter sports equipment,"Hello, I want to take ski equipment on my trip and I need to know if travel insurance covers damage or loss. Policy TRV-509118.",travel,policy_information,medium,neutral,Customer asks whether their travel insurance covers damage or loss of ski equipment on a trip.,TRV-509118,,[],False,,0.98
insurance-email-117,Please resend renewal notice,"Dear support, I cannot find my home insurance renewal notice anymore. Policy HMO-101773. Could you resend it to me?",home,document_request,medium,neutral,Customer requests a resend of the home insurance renewal notice for policy HMO-101773.,HMO-101773,,[],False,,0.98
insurance-email-118,Auto claim from last night,"Hi, another driver hit my parked car last night and drove off. I need to open a claim. Policy AUT-449102. I have the time and place written down.",auto,claim_opening,high,negative,Customer wants to open an auto claim for a parked car that was hit by another driver who drove off last night. Policy AUT-449102 is provided.,AUT-449102,,"[""date and exact time of the incident"", ""location of the incident"", ""driver/vehicle details if available"", ""description of damage""]",False,,0.98
insurance-email-119,Question about pre-existing condition,"Hello, I have a medical condition and I am unsure if it affects my travel insurance cover. Policy TRV-670014. Please advise.",travel,policy_information,medium,neutral,Customer asks whether a medical pre-existing condition affects their travel insurance cover for policy TRV-670014.,TRV-670014,,[],True,The request involves a sensitive medical issue about policy cover and should be reviewed by a human.,0.96
insurance-email-120,Home policy transfer request,"Dear team, I am buying a new house and want to know if my current home policy can be transferred or if I need a new one. Policy HMO-285617.",home,policy_information,medium,neutral,Customer is buying a new house and asks whether their current home policy can be transferred or if a new policy is needed.,HMO-285617,,"[""New property address"", ""Whether the customer wants to transfer coverage immediately or get a new policy quote""]",False,,0.96
insurance-email-121,Need help with instalments,"Hi, I would like to split my auto premium into monthly instalments instead of paying all at once. Policy AUT-912340. Is there a fee for doing this?",auto,payment_information,medium,neutral,Customer wants to split an auto premium into monthly instalments and asks whether there is a fee. Policy AUT-912340.,AUT-912340,,"[""Whether the policy is eligible for monthly instalments"", ""The instalment fee amount, if any""]",False,,0.98
insurance-email-122,Travel claim and hotel receipt,"Good day, I submitted my claim for a cancelled flight and hotel stay, but I may have sent the wrong receipt. Claim CLM-555190. Can I replace it?",travel,document_submission,medium,neutral,Customer says they submitted a travel claim for a cancelled flight and hotel stay and wants to replace an incorrect receipt for claim CLM-555190.,,CLM-555190,"[""Correct receipt/document to be submitted""]",False,,0.98
insurance-email-123,Home repair contractor question,"Hello, can I choose my own contractor for the repair on my home claim, or do I have to use someone you assign? Claim HCL-640902.",home,claim_status,medium,neutral,Customer asks whether they can choose their own contractor for a home claim repair and references claim HCL-640902.,,HCL-640902,[],False,,0.87
insurance-email-124,Auto insurance proof for employer,"Dear insurance team, my employer wants proof that my car is insured for business parking. Policy AUT-305661. Can you send a confirmation letter?",auto,document_request,medium,neutral,Customer requests a confirmation letter as proof of auto insurance for employer business parking purposes.,AUT-305661,,[],False,,0.98
insurance-email-125,Travel policy activated?,"Hi, I paid for travel insurance this morning but I am not sure if it is active yet. Reference TRV-847260. I leave tonight, so I need to know.",travel,policy_information,urgent,neutral,Customer asks whether their travel insurance is active after payment this morning and says they depart tonight. Reference TRV-847260 is provided.,TRV-847260,,"[""Exact policy start/activation status"", ""Departure time and any applicable waiting period details""]",False,,0.97
insurance-email-126,Home claim after burglary,"Hello, my back door was forced open and some jewelry is missing. I want to report a claim under my home policy. HMO-712408. What details do you need?",home,claim_opening,high,negative,"Customer reports a burglary with a forced back door and missing jewelry, and wants to open a claim under their home policy.",HMO-712408,,"[""Date and time of the burglary"", ""Location of the incident if different from the insured home"", ""List and estimated value of missing items"", ""Police report number, if available""]",False,,0.98
insurance-email-127,Change address after move,"Dear team, I moved and need to update the address on my auto policy too because the parking location changed. Policy AUT-110889. Please tell me the process.",auto,policy_change,medium,neutral,Customer moved and wants to update the address and parking location on an auto policy.,AUT-110889,,"[""New address to update on the policy"", ""New parking location details""]",False,,0.98
insurance-email-128,Travel claim refund status,"Hi, you approved my travel claim a while ago and I still have not received the payment. Claim TRC-204771. Could you check the payout status?",travel,claim_status,high,negative,Customer says a travel claim was approved but the payment has not been received and asks for a payout status check.,,TRC-204771,"[""Date the claim was approved"", ""Payment method or bank details to verify the payout, if needed""]",False,,0.97
insurance-email-129,Need a policy summary,"Hello, could you send me a summary of my home cover? I only need a simple overview of what is included. Policy HMO-556712.",home,policy_information,medium,neutral,Customer requests a simple summary of what is included in their home cover policy.,HMO-556712,,[],False,,0.98
insurance-email-130,Car insurance question after sale,"Hi, I sold my car yesterday and I am not sure what happens to the insurance now. Policy AUT-776401. Do I cancel it or can I move it to a new car?",auto,policy_change,medium,neutral,Customer sold their car and asks whether the auto policy should be cancelled or transferred to a new car. Policy AUT-776401.,AUT-776401,,"[""Details of the new car if the policy is to be transferred"", ""Whether the customer wants to cancel the policy or change it to a replacement vehicle""]",False,,0.97
insurance-email-131,Claim not visible online,"Good morning, I lodged a claim for roof damage after heavy wind but it does not appear in my account. Claim CLM-330144. Can you check?",home,claim_status,medium,neutral,Customer says a roof damage claim after heavy wind is not visible in their online account and asks for it to be checked.,,CLM-330144,"[""Policy number""]",False,,0.97
insurance-email-132,Travel insurance for family visit,"Dear support, I am travelling to visit family and want to know if my travel policy covers a trip with multiple stops. Policy TRV-218900. Thanks.",travel,policy_information,medium,neutral,Customer asks whether travel policy TRV-218900 covers a trip with multiple stops while traveling to visit family.,TRV-218900,,"[""Details of the trip itinerary and any specific stops if coverage depends on them""]",False,,0.95
insurance-email-133,Need to update marital status,"Hello, my marital status changed and I want to know if I should update my home insurance records. Policy HMO-450918. Please advise.",home,policy_change,medium,neutral,Customer says their marital status has changed and asks whether their home insurance records should be updated for policy HMO-450918.,HMO-450918,,"[""The specific marital status change details, if required for the update."", ""Any other personal details that need to be changed on the policy, if applicable.""]",False,,0.97
insurance-email-134,Auto claim for broken taillight,"Hi, my taillight was smashed while the car was parked outside my building. I want to open a claim. Policy AUT-633118. There was no note left.",auto,claim_opening,high,neutral,Customer wants to open an auto claim for a smashed taillight while the car was parked outside their building.,AUT-633118,,"[""Date and time of the incident"", ""Location of the incident"", ""Photos of the damage"", ""Police report, if applicable""]",False,,0.97
insurance-email-135,Travel certificate for embassy,"Dear team, the embassy requested a travel insurance certificate for my visa file. Policy TRV-990624. Please send it if you can.",travel,document_request,medium,neutral,Customer requests a travel insurance certificate for an embassy visa file and provides policy TRV-990624.,TRV-990624,,[],False,,0.98
insurance-email-136,"Home policy question, not sure","Hello, I heard that leaving windows open can affect home insurance. Is that true for my policy? HMO-808553. I am not certain.",home,policy_information,medium,neutral,Customer asks whether leaving windows open affects their home insurance policy.,HMO-808553,,[],False,,0.96
insurance-email-137,Claim update after repair quote,"Hi, I uploaded a repair quote for claim CLM-778230 but the portal still says waiting. Can someone confirm if it was received?",auto,claim_status,medium,neutral,Customer says they uploaded a repair quote for claim CLM-778230 and wants confirmation that it was received because the portal still shows waiting.,,CLM-778230,[],False,,0.96
insurance-email-138,Auto direct debit failed again,"Dear support, my auto policy payment failed again even though I changed my card last month. Policy AUT-500117. Please help before I get a late fee.",auto,payment_information,high,negative,Customer says their auto policy payment failed again after changing their card and wants help before a late fee is applied.,AUT-500117,,"[""The new payment method/card details need to be confirmed or updated if the payment is to be retried.""]",False,,0.98
insurance-email-139,Travel insurance change due to date shift,"Hello, my trip dates have shifted slightly and I want to adjust the travel policy to match. Policy TRV-413089. Let me know if that is possible.",travel,policy_change,medium,neutral,Customer wants to adjust a travel insurance policy to match changed trip dates and asks if the change is possible.,TRV-413089,,"[""New trip dates"", ""Specific policy changes requested""]",False,,0.98
insurance-email-140,Need copy of home claim decision,"Good evening, could you send me the decision letter for my home claim? Claim number HCL-905744. I need the paperwork for my landlord.",home,document_request,medium,neutral,"Customer requests a copy of the decision letter for a home claim, referencing claim number HCL-905744, for landlord paperwork.",,HCL-905744,[],False,,0.97
insurance-email-141,Auto policy and learner driver,"Hi, my teenage son has started learning to drive and I want to know if he can be covered on my auto policy. Policy AUT-228470. He only drives with supervision.",auto,policy_information,medium,neutral,Customer asks whether their teenage son can be covered as a learner driver on an auto policy.,AUT-228470,,"[""Whether the son needs to be added as a named driver or if existing learner-driver cover applies"", ""Son's age and driving status/licence details"", ""Vehicle details if coverage depends on the car or usage""]",False,,0.96
insurance-email-142,Travel claim for missed baggage connection,"Hello, my luggage missed the connection and arrived two days late. I filed a travel claim but I don't know what expenses are acceptable. Policy TRV-642118.",travel,claim_status,medium,neutral,Customer says their luggage arrived two days late after a missed connection and asks what expenses are acceptable for an existing travel claim. Policy TRV-642118 is provided.,TRV-642118,,"[""Claim number"", ""Details of the expenses they want to confirm""]",False,,0.91
insurance-email-143,Home insurance when renovating,"Dear team, we are planning some renovation work in the house and I want to check if I need to tell you. Policy HMO-937205. The work starts next month.",home,policy_information,medium,neutral,The customer asks whether they need to notify the insurer about planned renovation work starting next month on their home policy.,HMO-937205,,"[""Details of the renovation work (scope, structural changes, and whether contractors will be used)""]",False,,0.96
insurance-email-144,Need duplicate payment receipt,"Hi, can you send me a receipt for my last auto insurance payment? Policy AUT-114399. My records are incomplete.",auto,document_request,medium,neutral,Customer requests a duplicate receipt for the last auto insurance payment and provides policy AUT-114399.,AUT-114399,,[],False,,0.98
insurance-email-145,Travel claim after medical appointment,"Good afternoon, I had to pay for an appointment while on holiday because I felt unwell. Can I claim this on my travel insurance? Policy TRV-771430. I have the invoice.",travel,claim_opening,medium,neutral,Customer asks whether an out-of-pocket medical appointment paid for while on holiday can be claimed under travel insurance and provides policy TRV-771430. They also mention having the invoice.,TRV-771430,,"[""Details of the medical appointment and treatment received"", ""Date and location of the incident/appointment"", ""Confirmation of what documents are included with the invoice"", ""Any required claim form or incident details""]",True,"The request involves a medical issue while traveling, which should be reviewed by a human operator.",0.94
insurance-email-146,Complaint about claim handling,"Hello, I am frustrated because every time I call about claim CLM-470833 I get a different answer. This has been very poor service and I need someone to sort it out now.",other,complaint,high,angry,Customer is complaining about inconsistent answers and poor service regarding claim CLM-470833 and wants the issue resolved.,,CLM-470833,[],True,The email is a complaint about claim handling and should be reviewed by a human operator.,0.97
insurance-email-147,Home policy for holiday let,"Dear support, I may start renting my house as a holiday let for short periods. Does my home insurance allow that? Policy HMO-240761. Please let me know.",home,policy_information,medium,neutral,Customer asks whether their home insurance covers renting their house as a short-term holiday let and provides policy number HMO-240761.,HMO-240761,,"[""Details of the type and frequency of holiday letting planned, if needed to assess cover""]",False,,0.97
insurance-email-148,Auto claim estimate request,"Hi, I want to know if I can get an estimate before opening a full claim for the damage to my bumper. Policy AUT-879160. It is only a small scrape.",auto,claim_opening,medium,neutral,Customer asks whether they can get an estimate for bumper damage before opening a full auto claim. Policy AUT-879160 is provided.,AUT-879160,,"[""Details of the incident causing the bumper damage"", ""Date and location of the damage""]",False,,0.95
insurance-email-149,Travel policy question about spouse,"Hello, my wife will join my trip later than me. Is she still covered under my travel policy if she arrives separately? Policy TRV-308452.",travel,policy_information,medium,neutral,The customer asks whether their spouse is covered under their travel policy if she arrives separately on the trip.,TRV-308452,,"[""Whether the spouse's separate arrival is covered under the specific policy terms""]",False,,0.95
insurance-email-150,Need confirmation of home cover,"Dear insurance team, I just want written confirmation that my home insurance is active and up to date. Policy HMO-619874. Please send a brief confirmation by email.",home,document_request,medium,neutral,Customer requests written confirmation by email that their home insurance is active and up to date.,HMO-619874,,[],False,,0.98
